Company ID,Email,First Name,Last Name,Job Title,Industry,Product Interest,Country,Region,Lead Source,Lead Sub Source,Device Type,Number of Employees,Signup Date,Became a MQL Date,First Demo Date,Became a Customer Date,Annual Revenue
1,n6om0mith0@519505.com,First,Last,Owner,foodBeverages,Scheduling,United States of America,NorthAmerica,Paid Search,cpc-Bingpaid,PC,20,14/06/2024,14/06/2024,,,
3,rofwers3yy@894486.com,Heather,Calhoun,Foreman,construction,General,Australia,APAC,Paid Search,cpc-google_pmax,Mobile,20,14/06/2024,15/06/2024,,,
6,4wbz3dv0n4@489261.com,Kelly,Estrada,QA Manager,manufacturing,Digital Forms & Checklists,Mexico,NorthAmerica,Paid Search,cpc-google,PC,"3,000",14/06/2024,14/06/2024,,,
7,mrjfkyguid@200757.com,Christopher,Meza,Manager,foodBeverages,Scheduling,Canada,NorthAmerica,Paid Search,cpc-google,PC,20,14/06/2024,14/06/2024,,28/06/2024,"1,128"
9,vblp0x185g@614463.com,Amanda,Herrera,Auto electrician,fieldServices,General,South Africa,Africa,Organic Traffic,mobile,Mobile,75,14/06/2024,,,,
11,vt2tgm9czp@452191.com,Mark,Scott,Intern,governmental,General,United States of America,NorthAmerica,Organic Traffic,organic,PC,40,14/06/2024,14/06/2024,,,
12,5jp7bigi4a@945411.com,Brandon,Newton,OFFICE MANAGER,construction,Payroll,United States of America,NorthAmerica,Organic Traffic,organic,PC,40,14/06/2024,14/06/2024,28/04/2023,,
15,wuvwqx5t3f@663232.com,Melanie,Parker,Toolmaker,manufacturing,Payroll,United States of America,NorthAmerica,Paid Search,cpc-google,Mobile,40,14/06/2024,,,,
16,91igplfj6r@571804.com,Wendy,Wright,Area Manager,other,Payroll,United States of America,NorthAmerica,Paid Search,cpc-google,Mobile,20,14/06/2024,,,,
17,7f3rrffav2@149571.com,Melissa,Chase,Center Director,education,General,United States of America,NorthAmerica,Paid Search,cpc-google,PC,20,14/06/2024,14/06/2024,,28/06/2024,420
19,iplfi0lmbs@238274.com,Elizabeth,Mann,Operations Analyst,cleaning,Time & Attendance,Oman,ArabStates,Paid Search,cpc-google,PC,"3,000",14/06/2024,,,,
20,eoirwsbyps@619841.com,Jennifer,Carpenter,Owner,cleaning,General,Malta,Europe,Organic Traffic,organic,PC,20,14/06/2024,14/06/2024,,,
21,n01ne9fvns@462828.com,Alicia,Lam,Coordenator,hospitality,Scheduling,Brazil,SouthAmerica,Organic Traffic,insite,PC,20,14/06/2024,,,,
23,9dyiktaadb@308721.com,Craig,Dickson,Manager,retail,Scheduling,United Kingdom,Europe,Paid Search,cpc-google,Mobile,20,14/06/2024,,,,
25,ef4tvqxkjr@346373.com,Lauren,Taylor,Store Manager,retail,Scheduling,United Kingdom,Europe,Paid Search,cpc-google,PC,20,14/06/2024,,,,
26,wpxubj1z3i@513788.com,Michael,Atkinson,President,construction,General,United States of America,NorthAmerica,Paid Search,cpc-google_brand,PC,20,14/06/2024,14/06/2024,,01/07/2024,420
34,fmxgefw1x5@569179.com,Wendy,Castillo,MANAGING DIRECTOR / OWNER,transportation,General,United States of America,NorthAmerica,Paid Search,cpc-google_brand,PC,40,14/06/2024,14/06/2024,19/06/2024,22/06/2024,"4,932"
36,1f48wyul9f@904633.com,Jean,Juarez,Manager,npo,Time & Attendance,Australia,APAC,Paid Search,cpc-google,PC,20,14/06/2024,,,,
38,cqxse77daa@974008.com,Ryan,Price,Admin,security,General,Qatar,ArabStates,Paid Search,cpc-google,PC,750,14/06/2024,,,,
39,09ni83cy4q@367797.com,Christina,Brown,Director,healthcare,Documents,Australia,APAC,Organic Traffic,organic,PC,40,14/06/2024,,,,
40,q91xgotn8v@290705.com,Angela,Gross,General Manager,foodBeverages,General,United States of America,NorthAmerica,Organic Traffic,organic,Mobile,75,14/06/2024,19/06/2024,20/06/2024,28/06/2024,"5,868"
42,ovmrnnm7h3@697137.com,Jessica,Smith,Cleaner,cleaning,General,United States of America,NorthAmerica,Organic Traffic,mobile,Mobile,75,14/06/2024,,,,
44,ocwayzkf15@293919.com,Erica,Holland,Office Manager,construction,Payroll,United States of America,NorthAmerica,Paid Search,cpc-Bingpaid,PC,40,14/06/2024,14/06/2024,,10/07/2024,463.2
46,p8kpythh29@749990.com,Jessica,Baird,PM Intern,construction,Scheduling,United States of America,NorthAmerica,Paid Search,cpc-google,PC,20,14/06/2024,,,,
47,2bljp2v69b@329147.com,Scott,Shannon,Senior Manager,other,Scheduling,United States of America,NorthAmerica,Paid Search,cpc-pmp,PC,75,14/06/2024,,28/05/2024,,
49,bjpicwwlgp@841324.com,Carla,Jackson,Ffjkj,security,Payroll,Uzbekistan,APAC,Organic Traffic,mobile,Mobile,20,14/06/2024,,,,
51,5l7bn1t38t@204593.com,Dawn,Weber,Community Services manager,other,Onboarding & Training,New Zealand,APAC,Paid Search,cpc-google_pmax,Mobile,20,14/06/2024,,,,
52,w5613mbd3u@260207.com,Barry,Olson,Chairperson,fitness,Scheduling,United Kingdom,Europe,Direct Traffic,direct,PC,20,14/06/2024,14/06/2024,,,
54,8eft5quash@519035.com,Susan,Lang,Child and Youth Care Worker,fieldServices,Digital Forms & Checklists,Canada,NorthAmerica,Paid Search,cpc-google,PC,40,14/06/2024,14/06/2024,,,
58,ub8rr1n5jd@690779.com,Joel,Green,Office Employee,construction,Scheduling,United States of America,NorthAmerica,Paid Search,cpc-google_brand,PC,40,14/06/2024,,,,
59,uwez6zr9x1@781414.com,Christopher,Juarez,Propriétaire,foodBeverages,General,Canada,NorthAmerica,Direct Traffic,direct,PC,20,14/06/2024,14/06/2024,,,
63,4et243fncx@758454.com,John,Fernandez,Manager,foodBeverages,General,Philippines,APAC,Organic Traffic,organic,PC,75,14/06/2024,18/06/2024,,28/06/2024,420
65,0a7h8nvqhr@391128.com,Jeffrey,Smith,Traffic marshall,construction,General,United Kingdom,Europe,Organic Traffic,mobile,Mobile,"3,000",14/06/2024,,,,
67,oj6mkjk0kf@971536.com,Yolanda,Hernandez,Supervisor,hospitality,Scheduling,United States of America,NorthAmerica,Paid Search,cpc-pmp,Mobile,20,14/06/2024,14/06/2024,,,
70,n7505zt7wy@831003.com,Courtney,Powell,Temporary Replacement,cleaning,General,United States of America,NorthAmerica,Paid Search,cpc-google,Mobile,"3,000",14/06/2024,,,,
71,8hnoxzob2o@671453.com,Tony,Manning,Manager,other,Employee Engagement,Egypt,ArabStates,Paid Search,cpc-google,PC,20,14/06/2024,,,,
72,9karydlodb@734466.com,Deborah,Fowler,CRO,realEstate,General,United States of America,NorthAmerica,Paid Search,cpc-google,PC,20,14/06/2024,17/06/2024,,,
75,8r7ahswp59@436622.com,Todd,Moran,Reptile and Aquatics Manager,retail,General,United States of America,NorthAmerica,Organic Traffic,mobile,Mobile,20,14/06/2024,14/06/2024,,,
76,wd2ltohw9v@976422.com,Jasmine,Beck,Owner,entertainment,Scheduling,United States of America,NorthAmerica,Paid Search,cpc-google,PC,20,14/06/2024,14/06/2024,,,
77,9k9rih8l0l@136498.com,Lisa,Santiago,General Manager,cleaning,Time & Attendance,United States of America,NorthAmerica,Paid Search,cpc-google_pmax,PC,20,14/06/2024,14/06/2024,,,
78,yedrq7n05c@292437.com,Nancy,Warner,ADMIN SUPERVISOR,construction,General,United Kingdom,Europe,Paid Search,cpc-Bingpaid_brand,PC,20,14/06/2024,20/06/2024,19/06/2024,,
81,bmk62ej072@805662.com,Amy,Vasquez,Director,retail,General,Canada,NorthAmerica,Paid Search,cpc-google,Mobile,40,14/06/2024,,,,
85,dxsg1v5ajl@795004.com,Jonathon,Jones,Safety Manager,manufacturing,Scheduling,United States of America,NorthAmerica,Paid Search,cpc-google,PC,350,14/06/2024,,,,
86,hk16olq6c0@153266.com,Jennifer,Bell,Owner/CEO,transportation,General,United States of America,NorthAmerica,Organic Traffic,mobile,Mobile,20,14/06/2024,18/06/2024,,,
